City,lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Hermanus,-34.4187,19.2345,59.0,73,37,7.0,ZA,1619910621
Albany,42.6001,-73.9662,53.01,37,40,9.22,US,1619910350
Ponta do Sol,32.6667,-17.1,57.99,65,90,1.99,PT,1619910444
Yellowknife,62.456,-114.3525,34.0,51,20,9.22,CA,1619910621
Airai,-8.9266,125.4092,60.85,81,81,3.51,TL,1619910622
Haapiti,-17.5667,-149.8667,87.8,62,20,4.61,PF,1619910622
Punta Arenas,-53.15,-70.9167,41.0,87,40,4.61,CL,1619910622
Nikolskoye,59.7035,30.7861,37.4,70,0,2.24,RU,1619910623
Bangangté,5.1409,10.5198,61.09,96,100,3.51,CM,1619910623
Adrar,20.5022,-10.0711,84.61,30,36,4.85,MR,1619910623
Butaritari,3.0707,172.7902,82.98,74,99,10.54,KI,1619910624
Provideniya,64.3833,-173.3,26.37,55,37,5.03,RU,1619910624
Bredasdorp,-34.5322,20.0403,46.4,93,82,6.91,ZA,1619910092
Moerai,-22.4333,-151.3333,74.75,63,37,13.71,PF,1619910624
Hobart,-42.8794,147.3294,63.0,63,0,6.91,AU,1619910615
Port Alfred,-33.5906,26.891,60.76,66,0,5.17,ZA,1619910625
São Filipe,14.8961,-24.4956,72.86,73,4,13.87,CV,1619910625
Hilo,19.7297,-155.09,84.2,61,1,13.8,US,1619910601
Kapaa,22.0752,-159.319,80.6,69,20,16.11,US,1619910589
Tuatapere,-46.1333,167.6833,53.01,82,4,1.99,NZ,1619910626
Port Elizabeth,-33.918,25.5701,55.4,76,0,6.91,ZA,1619910484
Tuktoyaktuk,69.4541,-133.0374,14.0,92,90,2.3,CA,1619910594
Traralgon,-38.1833,146.5333,64.0,58,100,4.0,AU,1619910626
New Norfolk,-42.7826,147.0587,63.0,66,100,2.3,AU,1619910626
Avarua,-21.2078,-159.775,80.6,74,40,14.97,CK,1619910627
Cabañas,22.9758,-82.9219,84.2,58,40,13.8,CU,1619910627
Hong Kong,22.2855,114.1577,79.0,85,93,1.1,HK,1619910627
Tiznit Province,29.5833,-9.5,57.07,77,100,4.52,MA,1619910628
Smidovich,48.6,133.8167,45.32,53,97,5.86,RU,1619910628
Salinópolis,-0.6136,-47.3561,78.26,82,31,5.3,BR,1619910628
Saint-Philippe,-21.3585,55.7679,73.99,73,0,5.75,RE,1619910157
Karratha,-20.7377,116.8463,78.82,59,3,4.52,AU,1619910551
Ulladulla,-35.35,150.4667,61.0,100,100,5.12,AU,1619910629
Bluff,-46.6,168.3333,53.01,82,58,1.99,NZ,1619910069
East London,-33.0153,27.9116,60.8,66,0,5.84,ZA,1619910487
Bambous Virieux,-20.3428,57.7575,75.0,94,75,4.61,MU,1619910630
Chapais,49.7834,-74.8492,44.6,36,90,18.41,CA,1619910630
Bara,10.3744,10.7288,87.57,37,60,2.84,NG,1619910630
Torbay,47.6666,-52.7314,42.01,75,75,27.63,CA,1619910630
Ostrovnoy,68.0531,39.5131,29.88,93,100,19.64,RU,1619910631
Daru,-9.0763,143.2092,80.49,82,16,13.76,PG,1619910631
Upernavik,72.7868,-56.1549,26.01,83,9,5.84,GL,1619910523
Arlit,18.7369,7.3853,88.7,4,0,10.63,NE,1619910631
Geraldton,-28.7667,114.6,51.8,62,86,6.91,AU,1619910444
Cupar,56.3188,-3.012,41.0,93,75,2.3,GB,1619910632
Rāvar,31.2656,56.8055,64.8,62,75,0.85,IR,1619910547
Esim,4.8699,-2.2405,81.64,82,85,5.84,GH,1619910632
Ushuaia,-54.8,-68.3,39.2,70,20,3.44,AR,1619910057
Rikitea,-23.1203,-134.9692,75.6,80,91,7.45,PF,1619910633
Hamilton,39.1834,-84.5333,71.6,35,1,16.11,US,1619910633
Havøysund,70.9963,24.6622,26.6,80,83,7.27,NO,1619910633
Busselton,-33.65,115.3333,55.0,97,5,3.0,AU,1619910068
Bengkulu,-3.8004,102.2655,75.16,87,67,4.21,ID,1619910634
Hithadhoo,-0.6,73.0833,83.93,71,81,4.54,MV,1619910634
Oceanside,33.1959,-117.3795,71.01,63,1,5.75,US,1619910632
Qaanaaq,77.484,-69.3632,32.74,68,82,5.5,GL,1619910634
Prince George,53.9166,-122.753,55.0,57,40,11.5,CA,1619910500
Santa Maria,-29.6842,-53.8069,69.8,68,0,3.44,BR,1619910635
Mutoko,-17.397,32.2268,60.26,91,90,5.14,ZW,1619910635
Mataura,-46.1927,168.8643,53.01,82,18,1.99,NZ,1619910403
Palmer,42.1584,-72.3287,57.2,24,75,14.97,US,1619910635
Northam,51.0333,-4.2167,39.99,75,10,2.46,GB,1619910636
Arraial do Cabo,-22.9661,-42.0278,72.9,68,100,11.52,BR,1619910431
Sehithwa,-20.4667,22.7167,64.13,27,0,8.66,BW,1619910636
Wahlern,46.8281,7.3532,42.01,100,75,3.44,CH,1619910637
Onega,63.9061,38.1404,29.89,81,94,9.84,RU,1619910637
Norman Wells,65.282,-126.8329,46.4,36,20,14.97,CA,1619910457
Sumbe,-11.2061,13.8437,77.07,90,100,5.01,AO,1619910637
Miandrivazo,-19.5167,45.4667,74.28,86,55,1.28,MG,1619910638
Gulu,2.7746,32.299,64.22,91,88,1.21,UG,1619910638
Troitsko-Pechorsk,62.7084,56.1964,32.45,93,22,8.05,RU,1619910638
Barrow,71.2906,-156.7887,21.2,79,90,11.5,US,1619910639
Mahébourg,-20.4081,57.7,73.4,94,75,4.61,MU,1619910524
Tarko-Sale,64.9225,77.785,26.01,90,100,7.99,RU,1619910639
Tūkrah,32.5341,20.5791,84.13,21,1,7.65,LY,1619910640
Buin,-33.7333,-70.75,60.8,59,0,8.05,CL,1619910640
Tanete,-3.9443,119.7848,74.48,91,55,3.62,ID,1619910640
Sørland,67.667,12.6934,35.74,65,100,12.64,NO,1619910641
Lebu,-37.6167,-73.65,55.4,92,100,15.08,CL,1619910641
Astoria,46.1879,-123.8313,55.99,58,90,9.22,US,1619910641
Ahipara,-35.1667,173.1667,63.32,54,0,7.63,NZ,1619910642
Tsimmerbude,54.675,20.1347,44.6,65,0,11.18,RU,1619910559
Pine Bluff,34.2284,-92.0032,77.0,41,1,6.91,US,1619910642
Harper,4.375,-7.7169,80.73,80,100,8.72,LR,1619910643
Kibaya,-5.3,36.5667,58.91,98,52,3.36,TZ,1619910643
Chokurdakh,70.6333,147.9167,18.39,90,75,4.32,RU,1619910643
Haines Junction,60.7522,-137.5108,48.2,37,97,6.91,CA,1619910644
Sinnamary,5.3833,-52.95,78.08,87,85,9.19,GF,1619910644
Marystown,47.1666,-55.1483,38.07,94,100,15.93,CA,1619910644
Nunchía,5.6406,-72.1986,72.79,93,62,1.34,CO,1619910645
Vaini,-21.2,-175.2,80.6,74,40,12.66,TO,1619910591
Jinji,23.2281,110.8261,75.87,88,98,2.1,CN,1619910645
Puerto Ayora,-0.7393,-90.3518,82.4,65,0,13.8,EC,1619910645
Thompson,55.7435,-97.8558,23.0,86,90,9.22,CA,1619910068
Los Llanos de Aridane,28.6585,-17.9182,68.0,60,75,12.66,ES,1619910434
Klaksvík,62.2266,-6.589,35.6,87,75,2.3,FO,1619910596
Jizan,17.3333,42.6667,87.8,66,40,5.75,SA,1619910646
Thinadhoo,0.5333,72.9333,83.23,71,61,3.47,MV,1619910646
Cidreira,-30.1811,-50.2056,70.09,76,0,17.67,BR,1619910074
Paamiut,61.994,-49.6678,37.35,70,66,6.38,GL,1619910647
Marabu,4.4148,114.0089,75.2,94,20,2.3,MY,1619910647
George Town,5.4112,100.3354,78.8,89,40,5.75,MY,1619910647
Ulaangom,49.9811,92.0667,41.13,53,99,6.96,MN,1619910648
Betioky,-23.7167,44.3833,67.91,74,100,2.86,MG,1619910648
Burnie,-41.0667,145.9167,60.01,74,100,1.01,AU,1619910554
Iqaluit,63.7506,-68.5145,39.2,70,75,20.71,CA,1619910468
Abay,49.6311,72.8539,21.2,79,0,8.95,KZ,1619910649
Zyryanka,65.75,150.85,30.65,88,96,3.27,RU,1619910649
Boa Vista,2.8197,-60.6733,84.2,70,40,6.91,BR,1619910620
Diré,12.2833,-10.9667,90.43,37,29,4.88,ML,1619910649
Umluj,25.0213,37.2685,81.14,55,0,6.58,SA,1619910650
Yunhe,34.0833,119.7167,52.95,61,1,9.06,CN,1619910650
Saint Anthony,45.0205,-93.218,87.8,17,20,17.27,US,1619910651
Port Hawkesbury,45.6169,-61.3485,39.99,87,1,12.66,CA,1619910651
Moroni,-11.7022,43.2551,79.83,81,4,5.82,KM,1619910651
Caravelas,-17.7125,-39.2481,74.41,69,77,9.13,BR,1619910652
Oxbow,49.2333,-102.1676,70.0,31,96,5.01,CA,1619910652
Lovozero,68.005,35.0117,13.1,86,53,7.49,RU,1619910652
Meulaboh,4.1363,96.1285,77.32,88,76,2.42,ID,1619910652
Khatanga,71.9667,102.5,19.49,96,72,3.15,RU,1619910653
Padang,-0.9492,100.3543,77.0,94,40,2.3,ID,1619910564
Severo-Kuril'sk,50.6789,156.125,35.58,97,100,23.11,RU,1619910653
Honningsvåg,70.9821,25.9704,32.97,84,99,16.53,NO,1619910654
Mount Gambier,-37.8333,140.7667,59.0,77,71,10.36,AU,1619910654
Dubuque,42.4833,-90.8668,86.0,26,1,28.77,US,1619910609
Clyde River,70.4692,-68.5914,19.4,100,90,0.83,CA,1619910469
Hendrina,-26.1588,29.7153,48.0,79,6,3.0,ZA,1619910544
Grand Gaube,-20.0064,57.6608,75.0,89,13,3.0,MU,1619910655
Bethel,41.3712,-73.414,57.99,31,36,6.38,US,1619910655
San Policarpo,12.1791,125.5072,81.7,83,40,8.55,PH,1619910470
Carnarvon,-24.8667,113.6333,66.2,72,100,9.22,AU,1619910478
Pisco,-13.7,-76.2167,69.8,73,0,10.36,PE,1619910655
Raton,36.9034,-104.4391,80.6,9,1,4.61,US,1619910656
Turukhansk,65.8167,87.9833,32.47,86,93,4.68,RU,1619910656
Atuona,-9.8,-139.0333,79.21,69,2,6.31,PF,1619910656
Katsuura,35.1333,140.3,66.0,63,20,17.27,JP,1619910657
Dolores,-36.3132,-57.6792,60.13,76,24,7.63,AR,1619910657
Beloha,-25.1667,45.05,68.56,80,100,3.71,MG,1619910437
Mar del Plata,-38.0023,-57.5575,66.0,77,0,4.61,AR,1619910551
Lavrentiya,65.5833,-171.0,22.28,73,41,1.95,RU,1619910658
Yangi Marg`ilon,40.4272,71.7189,60.8,82,31,6.91,UZ,1619910658
College,64.8569,-147.8028,41.0,45,40,4.61,US,1619910658
La Ronge,55.1001,-105.2842,53.6,50,93,9.22,CA,1619910659
Ballina,-28.8667,153.5667,71.6,68,40,10.36,AU,1619910659
Bariloche,-41.1456,-71.3082,42.8,87,90,8.05,AR,1619910659
Tasiilaq,65.6145,-37.6368,26.6,86,2,2.24,GL,1619910659
Biak,-0.9131,122.8766,77.81,81,98,4.54,ID,1619910660
Lethem,3.3803,-59.7968,81.64,68,93,5.03,GY,1619910660
Corinth,37.9407,22.9573,66.99,72,74,1.7,GR,1619910661
Lompoc,34.6391,-120.4579,63.0,77,90,20.71,US,1619910661
Lagoa,39.05,-27.9833,60.98,90,100,19.89,PT,1619910661
Lata,40.1629,-8.3327,53.01,74,47,1.45,PT,1619910661
Kamenka,51.3223,42.7678,46.99,94,28,6.76,RU,1619910662
Evensk,61.95,159.2333,29.12,73,5,4.63,RU,1619910618
Cruz das Almas,-12.67,-39.1019,69.55,93,100,7.7,BR,1619910662
Mareeba,-17.0,145.4333,78.01,73,75,12.66,AU,1619910662
San Vicente,-26.6167,-54.1333,62.11,59,23,1.48,AR,1619910663
Saint-Pierre,-21.3393,55.4781,73.99,68,0,6.91,RE,1619910663
Jamestown,42.097,-79.2353,57.99,35,90,20.71,US,1619910663
Mongar,27.2747,91.2396,54.16,69,1,5.93,BT,1619910664
Pokhara,28.2333,83.9833,69.93,41,88,5.06,NP,1619910664
Margate,51.3813,1.3862,46.0,73,34,1.99,GB,1619910664
Isangel,-19.55,169.2667,75.2,94,90,9.22,VU,1619910437
Unirea,44.15,23.1833,66.99,95,92,2.55,RO,1619910665
Narsaq,60.9167,-46.05,44.6,24,20,39.12,GL,1619910665
Alyangula,-13.8483,136.4192,73.4,100,5,11.3,AU,1619910665
Ust-Nera,64.5667,143.2,35.37,93,100,2.21,RU,1619910666
Houma,29.5958,-90.7195,78.01,73,75,11.5,US,1619910666
Oudtshoorn,-33.5907,22.2014,51.8,87,0,3.44,ZA,1619910666
Vila Velha,-20.3297,-40.2925,70.0,94,90,9.22,BR,1619910666
Örnsköldsvik,63.2909,18.7153,24.8,86,43,4.61,SE,1619910667
Laas,46.6166,10.7002,52.0,100,75,5.75,IT,1619910456
Pevek,69.7008,170.3133,14.31,85,86,9.31,RU,1619910667
Caconda,-13.7333,15.0667,59.58,92,100,0.74,AO,1619910667
Santa Isabel,-23.3156,-46.2214,66.99,88,40,3.44,BR,1619910668
Puerto Maldonado,-12.6,-69.1833,78.8,78,0,1.14,PE,1619910668
Grafton,42.207,-71.6856,57.0,32,1,10.36,US,1619910668
Boulder City,35.9786,-114.8325,93.2,5,1,23.02,US,1619910509
Fortuna,40.5982,-124.1573,57.0,82,90,17.27,US,1619910459
Longyearbyen,78.2186,15.6401,17.6,73,20,12.66,SJ,1619910523
Dikson,73.5069,80.5464,20.64,93,100,7.36,RU,1619910669
Okhotsk,59.3833,143.3,34.93,81,79,1.9,RU,1619910669
Grand-Lahou,5.1367,-5.0242,81.86,84,57,9.84,CI,1619910670
Alora,36.8236,-4.7058,60.01,55,0,9.22,ES,1619910670
Kharp,66.8014,65.8081,26.37,96,100,8.81,RU,1619910670
Swellendam,-34.0226,20.4417,46.4,93,62,6.91,ZA,1619910671
Bennington,42.8781,-73.1968,51.8,37,1,4.61,US,1619910604
Cape Town,-33.9258,18.4232,57.99,88,0,4.61,ZA,1619910510
Tabuk,17.4189,121.4443,76.96,82,9,2.15,PH,1619910671
Salalah,17.0151,54.0924,84.2,79,20,3.44,OM,1619910449
Wajid,3.8093,43.2471,77.41,73,91,9.51,SO,1619910671
Yulara,-25.2406,130.9889,66.2,42,37,10.36,AU,1619910672
Surab,28.4914,66.2585,61.3,52,100,3.74,PK,1619910672
Kavaratti,10.5669,72.642,84.09,75,22,5.61,IN,1619910673
Yumbe,3.4651,31.2469,64.99,94,84,4.09,UG,1619910673
Cherskiy,68.75,161.3,18.34,79,47,1.05,RU,1619910087
Coquimbo,-29.9533,-71.3436,57.2,94,0,4.61,CL,1619910673
Härnösand,62.6323,17.9379,34.0,80,90,1.14,SE,1619910674
Inhambane,-23.865,35.3833,72.79,63,87,13.98,MZ,1619910674
Mayumba,-3.432,10.6554,77.85,90,100,4.61,GA,1619910531
Manokwari,-0.8667,134.0833,79.74,76,100,1.43,ID,1619910674
Deer Lake,49.1667,-57.4316,41.0,93,90,5.86,CA,1619910675
Morristown,36.214,-83.2949,71.6,20,1,3.44,US,1619910675
Trairi,-3.2778,-39.2689,75.88,86,100,4.25,BR,1619910530
Viedma,-40.8135,-62.9967,65.91,46,100,8.03,AR,1619910675
Richards Bay,-28.783,32.0377,62.15,87,37,5.39,ZA,1619910567
Gambiran,-6.7988,111.4951,74.41,94,98,4.25,ID,1619910676
Liverpool,53.4106,-2.9779,42.8,93,0,4.61,GB,1619910676
Matucana,-11.85,-76.4,58.69,95,94,3.56,PE,1619910676
Batemans Bay,-35.7167,150.1833,64.99,100,100,3.47,AU,1619910677
Nizhniy Odes,63.6445,54.856,30.92,89,26,8.48,RU,1619910677
Niquelândia,-14.4739,-48.4597,71.55,73,100,3.51,BR,1619910677
Fiumicino,41.7675,12.2291,61.0,94,20,3.44,IT,1619910678
Ternate,0.8,127.4,81.5,75,85,4.09,ID,1619910678
Vestmannaeyjar,63.4427,-20.2734,39.94,65,71,15.61,IS,1619910566
Souillac,-20.5167,57.5167,73.4,94,40,3.44,MU,1619910678
Klyuchi,52.2667,79.1667,37.53,69,26,6.26,RU,1619910679
Imeni Poliny Osipenko,52.4201,136.4853,37.18,71,99,13.09,RU,1619910679
Burē,10.7,37.0667,62.42,75,92,1.72,ET,1619910679
Agüimes,27.9054,-15.4461,66.2,68,40,16.11,ES,1619910680
Nanortalik,60.1432,-45.2371,37.45,64,41,14.67,GL,1619910680
Castro,-24.7911,-50.0119,56.84,95,71,5.75,BR,1619910680
Camacha,33.0833,-16.3333,60.8,63,20,5.75,PT,1619910681
Muros,42.7762,-9.0603,46.0,84,21,6.96,ES,1619910681
Hirara,24.8,125.2833,73.4,100,75,5.75,JP,1619910681
Saldanha,-33.0117,17.9442,55.4,67,3,4.61,ZA,1619910682
Alta Floresta,-9.8756,-56.0861,72.9,93,97,2.95,BR,1619910682
Bandarbeyla,9.4942,50.8122,83.53,73,71,8.05,SO,1619910682
Alofi,-19.0595,-169.9187,82.4,83,75,8.05,NU,1619910683
Hereford,52.0568,-2.7148,39.0,92,45,4.47,GB,1619910683
Dukat,62.55,155.55,26.11,88,99,2.37,RU,1619910683
Vao,-22.6667,167.4833,74.57,68,100,26.22,NC,1619910684
Morón,-34.6534,-58.6198,70.0,64,0,4.21,AR,1619910684
Khandyga,62.6667,135.6,38.16,86,100,0.4,RU,1619910684
Faya,18.3851,42.4509,68.0,39,0,2.39,SA,1619910685
Tandaltī,13.0167,31.8667,89.46,23,90,6.2,SD,1619910685
Camargo,27.6667,-105.1667,76.5,22,25,11.99,MX,1619910685
Beringovskiy,63.05,179.3167,20.93,82,96,13.24,RU,1619910277
Mossamedes,-15.1961,12.1522,76.78,77,23,5.46,AO,1619910686
Obo,5.3998,26.4869,68.7,96,100,5.01,CF,1619910686
Robertsport,6.7533,-11.3686,82.2,79,55,10.76,LR,1619910649
Marathon,44.9,-89.7668,84.2,20,1,12.66,US,1619910686
Vardø,70.3705,31.1107,33.57,69,96,15.55,NO,1619910687
Kirakira,-10.4544,161.9205,80.85,79,100,4.47,SB,1619910687
Zhangye,38.9342,100.4517,63.73,19,100,15.79,CN,1619910687
Katherine,-14.4667,132.2667,73.4,78,0,5.75,AU,1619910688
Ilulissat,69.2167,-51.1,44.6,45,17,14.97,GL,1619910480
Sobolevo,54.4299,31.8996,43.02,75,100,4.85,RU,1619910688
Boone,39.0334,-92.3335,82.4,24,1,13.8,US,1619910688
Rocha,-34.4833,-54.3333,59.92,90,1,5.39,UY,1619910689
Leningradskiy,69.3833,178.4167,16.95,89,100,20.8,RU,1619910689
Ancud,-41.8697,-73.8203,54.0,87,0,6.91,CL,1619910690
Grindavik,63.8424,-22.4338,39.2,56,75,9.22,IS,1619910690
Mana,5.6592,-53.7767,77.95,89,96,7.72,GF,1619910642
Acapulco de Juárez,16.8634,-99.8901,84.2,70,75,12.66,MX,1619910690
Nelson Bay,-32.7167,152.15,69.01,82,74,4.61,AU,1619910691
Okha,53.5739,142.9478,31.84,87,100,12.39,RU,1619910691
Nuevo Progreso,23.1667,-97.95,79.0,89,94,5.01,MX,1619910691
Henties Bay,-22.116,14.2845,60.01,91,0,2.62,NA,1619910692
Khorixas,-20.3667,14.9667,71.24,52,49,8.21,NA,1619910692
Tabas,33.5959,56.9244,73.4,46,100,4.54,IR,1619910692
Saint Paul Harbor,57.79,-152.4072,44.6,70,90,9.22,US,1619910157
Lorengau,-2.0226,147.2712,82.33,75,95,1.21,PG,1619910693
Faanui,-16.4833,-151.75,80.78,67,57,3.94,PF,1619910429
Bikaner,28.0167,73.3,84.4,28,66,11.63,IN,1619910693
